file,rows,columns,grain,category,recommended_tier,recommended_use,ranking_use,duplicate_rows,max_column_missing_pct,parse_error
cleaned/clean_other/source_metadata.csv,4,7,metadata/QA,data governance,Development/QA,"Use for provenance, documentation, and tests; not ranking",No,0,0.0,
cleaned/clean_other/validation_report.csv,204,6,metadata/QA,data governance,Development/QA,"Use for provenance, documentation, and tests; not ranking",No,0,0.0,
cleaned/clean_race_and_ethnicity/combined_race_ethnicity_stage_summary_2025_2026.csv,31,13,population/state demographic,race and ethnicity outcomes/trends,Tier 4: equity/research,Use for aggregate equity analysis; do not personalize ranking or odds by race,No personalized ranking,0,22.6,
cleaned/clean_race_and_ethnicity/combined_race_ethnicity_trends_2021_2026_long.csv,405,8,population/state demographic,race and ethnicity outcomes/trends,Tier 4: equity/research,Use for aggregate equity analysis; do not personalize ranking or odds by race,No personalized ranking,0,11.1,
cleaned/clean_race_and_ethnicity/combined_race_gender_outcomes_2025_2026_wide.csv,213,13,population/state demographic,race and ethnicity outcomes/trends,Tier 4: equity/research,Use for aggregate equity analysis; do not personalize ranking or odds by race,No personalized ranking,0,15.5,
cleaned/clean_race_and_ethnicity/combined_race_gender_stage_counts_2025_2026_long.csv,852,8,population/state demographic,race and ethnicity outcomes/trends,Tier 4: equity/research,Use for aggregate equity analysis; do not personalize ranking or odds by race,No personalized ranking,0,15.5,
cleaned/clean_race_and_ethnicity/combined_state_race_outcomes_2025_2026_long.csv,780,9,population/state demographic,race and ethnicity outcomes/trends,Tier 4: equity/research,Use for aggregate equity analysis; do not personalize ranking or odds by race,No personalized ranking,0,14.2,
cleaned/clean_race_and_ethnicity/combined_state_race_outcomes_2025_2026_wide.csv,60,41,population/state demographic,race and ethnicity outcomes/trends,Tier 4: equity/research,Use for aggregate equity analysis; do not personalize ranking or odds by race,No personalized ranking,0,73.3,
cleaned/clean_race_and_ethnicity/data_dictionary.csv,12,3,metadata/QA,data governance,Development/QA,"Use for provenance, documentation, and tests; not ranking",No,0,0.0,
cleaned/clean_race_and_ethnicity/facts_a10_applicants_by_state_and_race_2025_2026.csv,60,18,population/state demographic,race and ethnicity outcomes/trends,Tier 4: equity/research,Use for aggregate equity analysis; do not personalize ranking or odds by race,No personalized ranking,0,6.7,
cleaned/clean_race_and_ethnicity/facts_a11_matriculants_by_state_and_race_2025_2026.csv,60,18,population/state demographic,race and ethnicity outcomes/trends,Tier 4: equity/research,Use for aggregate equity analysis; do not personalize ranking or odds by race,No personalized ranking,0,6.7,
cleaned/clean_race_and_ethnicity/facts_a12_race_ethnicity_by_gender_and_stage_2025_2026.csv,213,10,population/state demographic,race and ethnicity outcomes/trends,Tier 4: equity/research,Use for aggregate equity analysis; do not personalize ranking or odds by race,No personalized ranking,0,15.5,
cleaned/clean_race_and_ethnicity/facts_a14_1_applicant_race_ethnicity_trends_2021_2026.csv,54,11,population/state demographic,race and ethnicity outcomes/trends,Tier 4: equity/research,Use for aggregate equity analysis; do not personalize ranking or odds by race,No personalized ranking,0,11.1,
cleaned/clean_race_and_ethnicity/facts_a14_2_acceptee_race_ethnicity_trends_2021_2026.csv,54,11,population/state demographic,race and ethnicity outcomes/trends,Tier 4: equity/research,Use for aggregate equity analysis; do not personalize ranking or odds by race,No personalized ranking,0,11.1,
cleaned/clean_race_and_ethnicity/facts_a14_3_matriculant_race_ethnicity_trends_2021_2026.csv,54,11,population/state demographic,race and ethnicity outcomes/trends,Tier 4: equity/research,Use for aggregate equity analysis; do not personalize ranking or odds by race,No personalized ranking,0,11.1,
cleaned/clean_race_and_ethnicity/manifest.csv,16,3,metadata/QA,data governance,Development/QA,"Use for provenance, documentation, and tests; not ranking",No,0,6.2,
cleaned/clean_race_and_ethnicity/source_metadata.csv,6,8,metadata/QA,data governance,Development/QA,"Use for provenance, documentation, and tests; not ranking",No,0,83.3,
cleaned/clean_race_and_ethnicity/validation_report.csv,52,5,metadata/QA,data governance,Development/QA,"Use for provenance, documentation, and tests; not ranking",No,0,0.0,
cleaned/clean_summary/combined_gender_applicant_matriculant_trends_1980_2026_long.csv,368,6,population/year/gender,gender trends or scores,Tier 4: demographic research,Use for aggregate reporting only; not personalized ranking,No personalized ranking,0,0.0,
cleaned/clean_summary/combined_medical_education_history_1980_2026_long.csv,500,5,national/year,medical education pipeline trends,Tier 3: dashboard/reporting,Use for national trend sections and charts,Context only,0,0.2,
cleaned/clean_summary/combined_medical_education_history_1980_2026_wide.csv,46,19,national/year,medical education pipeline trends,Tier 3: dashboard/reporting,Use for national trend sections and charts,Context only,0,80.4,
cleaned/clean_summary/combined_medical_education_pipeline_2016_2026.csv,10,12,national/year,medical education pipeline trends,Tier 3: dashboard/reporting,Use for national trend sections and charts,Context only,0,10.0,
cleaned/clean_summary/data_dictionary.csv,6,3,metadata/QA,data governance,Development/QA,"Use for provenance, documentation, and tests; not ranking",No,0,0.0,
cleaned/clean_summary/facts_chart1_applicant_status_trends_1980_2026.csv,46,7,national/year,medical education pipeline trends,Tier 3: dashboard/reporting,Use for national trend sections and charts,Context only,0,0.0,
cleaned/clean_summary/facts_chart2_applicants_by_gender_1980_2026.csv,46,9,population/year/gender,gender trends or scores,Tier 4: demographic research,Use for aggregate reporting only; not personalized ranking,No personalized ranking,0,0.0,
cleaned/clean_summary/facts_chart3_matriculants_by_gender_1980_2026.csv,46,9,population/year/gender,gender trends or scores,Tier 4: demographic research,Use for aggregate reporting only; not personalized ranking,No personalized ranking,0,0.0,
cleaned/clean_summary/facts_table1_applicants_matriculants_enrollment_graduates_2016_2026.csv,10,8,national/year,medical education pipeline trends,Tier 3: dashboard/reporting,Use for national trend sections and charts,Context only,0,10.0,
cleaned/clean_summary/manifest.csv,12,3,metadata/QA,data governance,Development/QA,"Use for provenance, documentation, and tests; not ranking",No,0,8.3,
cleaned/clean_summary/source_metadata.csv,4,7,metadata/QA,data governance,Development/QA,"Use for provenance, documentation, and tests; not ranking",No,0,25.0,
cleaned/clean_summary/validation_report.csv,204,7,metadata/QA,data governance,Development/QA,"Use for provenance, documentation, and tests; not ranking",No,0,45.1,
final_med_school_data.csv,150,16,school,core school catalog,Tier 1: ranking runtime,Merge into canonical school table,Yes,0,4.7,
