rank,school_name,state_aamc,application_deadline,criminal_background_check,application_deadline_date,shemmassian_school_name,medical_school,state_shemmassian,degree_type,average_gpa,average_mcat,minimum_mcat,is_public,campus_city,region,setting,school_state,school_state_code,school_degree_type,school_gpa,school_mcat,minimum_mcat_numeric,is_public_bool,school_city,school_region,school_setting,academic_score,academic_category,academic_composite_z,gpa_difference,mcat_difference,gpa_position_score,mcat_position_score,below_minimum_mcat,academic_reasons,academic_warnings,residency_context,residency_priority,residency_reasons,residency_warnings,eligibility_status,personal_fit_score,personal_fit_category,preference_components,preference_reasons,preference_warnings,preference_verification,mission_fit_score,mission_matches,mission_warnings,data_completeness_score,verification_needed,ranking_basis
16,Johns Hopkins University School of Medicine,Maryland,"October 15, 2026",No,2026-10-15,Johns Hopkins University School of Medicine,Johns Hopkins University School of Medicine,MD,MD,3.92,521,NR,False,Baltimore,Mid-Atlantic,Urban,Maryland,MD,MD,3.92,521.0,,False,Baltimore,Mid-Atlantic,Urban,0.3,High Reach,-2.715,-0.18,-21.0,18.4,0.0,False,"[""Applicant GPA is -0.18 relative to the school's reported average GPA of 3.92."", ""Applicant MCAT is -21 relative to the school's reported average MCAT of 521.""]",[],Out-of-state private,2,"['The school is private, so state residency is usually less central than at a public school.']",[],Eligible,100.0,Strong Preference Fit,"{'region': 100.0, 'setting': 100.0}","[""Program type matches the applicant's selected options: MD."", 'School is in a preferred region: Mid-Atlantic.', 'School setting matches the preference: Urban.']",[],[],,[],['Mission fit was not scored because curated school mission tags are unavailable.'],100.0,['Mission fit was not scored because curated school mission tags are unavailable.'],"Eligible schools are ordered as a planning list: stated preference fit first, then residency context, academic comparison index, and data completeness. The academic category remains separate and is not changed by location preferences."
17,Perelman School of Medicine at the University of Pennsylvania,Pennsylvania,"October 15, 2026",Yes,2026-10-15,Perelman School of Medicine University of Pennsylvania,Perelman School of Medicine University of Pennsylvania,PA,MD,3.97,521,NR,False,Philadelphia,Mid-Atlantic,Urban,Pennsylvania,PA,MD,3.97,521.0,,False,Philadelphia,Mid-Atlantic,Urban,0.2,High Reach,-2.828,-0.23,-21.0,12.5,0.0,False,"[""Applicant GPA is -0.23 relative to the school's reported average GPA of 3.97."", ""Applicant MCAT is -21 relative to the school's reported average MCAT of 521.""]",[],Out-of-state private,2,"['The school is private, so state residency is usually less central than at a public school.']",[],Eligible,100.0,Strong Preference Fit,"{'region': 100.0, 'setting': 100.0}","[""Program type matches the applicant's selected options: MD."", 'School is in a preferred region: Mid-Atlantic.', 'School setting matches the preference: Urban.']",[],[],,[],['Mission fit was not scored because curated school mission tags are unavailable.'],100.0,['Mission fit was not scored because curated school mission tags are unavailable.'],"Eligible schools are ordered as a planning list: stated preference fit first, then residency context, academic comparison index, and data completeness. The academic category remains separate and is not changed by location preferences."
18,Florida State University College of Medicine,Florida,"November 15, 2026",No,2026-11-15,Florida State University College  of Medicine,Florida State University College  of Medicine,FL,MD,3.68,507,498,True,Tallahassee,Southeast,Urban,Florida,FL,MD,3.68,507.0,498.0,True,Tallahassee,Southeast,Urban,26.3,Reach,-0.635,0.06,-7.0,61.8,8.1,False,"[""Applicant GPA is +0.06 relative to the school's reported average GPA of 3.68."", ""Applicant MCAT is -7 relative to the school's reported average MCAT of 507."", 'Applicant meets the listed minimum MCAT of 498.']",[],Out-of-state public — verify,1,[],['This is a public out-of-state school; actual out-of-state accessibility must be verified with official data.'],Eligible,100.0,Strong Preference Fit,"{'region': 100.0, 'setting': 100.0}","[""Program type matches the applicant's selected options: MD."", 'School is in a preferred region: Southeast.', 'School setting matches the preference: Urban.']",[],[],,[],['Mission fit was not scored because curated school mission tags are unavailable.'],100.0,"['This is a public out-of-state school; actual out-of-state accessibility must be verified with official data.', 'Mission fit was not scored because curated school mission tags are unavailable.']","Eligible schools are ordered as a planning list: stated preference fit first, then residency context, academic comparison index, and data completeness. The academic category remains separate and is not changed by location preferences."
19,University of Mississippi School of Medicine,Mississippi,"October 15, 2026",Yes,2026-10-15,University of Mississippi School of Medicine,University of Mississippi School of Medicine,MS,MD,3.80,506,496,True,Jackson,Southeast,Urban,Mississippi,MS,MD,3.8,506.0,496.0,True,Jackson,Southeast,Urban,21.3,Reach,-0.795,-0.06,-6.0,38.2,11.5,False,"[""Applicant GPA is -0.06 relative to the school's reported average GPA of 3.80."", ""Applicant MCAT is -6 relative to the school's reported average MCAT of 506."", 'Applicant meets the listed minimum MCAT of 496.']",[],Out-of-state public — verify,1,[],['This is a public out-of-state school; actual out-of-state accessibility must be verified with official data.'],Eligible,100.0,Strong Preference Fit,"{'region': 100.0, 'setting': 100.0}","[""Program type matches the applicant's selected options: MD."", 'School is in a preferred region: Southeast.', 'School setting matches the preference: Urban.']",[],[],,[],['Mission fit was not scored because curated school mission tags are unavailable.'],100.0,"['This is a public out-of-state school; actual out-of-state accessibility must be verified with official data.', 'Mission fit was not scored because curated school mission tags are unavailable.']","Eligible schools are ordered as a planning list: stated preference fit first, then residency context, academic comparison index, and data completeness. The academic category remains separate and is not changed by location preferences."
20,Marshall University Joan C. Edwards School of Medicine,West Virginia,"November 2, 2026",Yes,2026-11-02,Marshall University Joan C. Edwards School of Medicine,Marshall University Joan C. Edwards School of Medicine,WV,MD,3.81,506,496,True,Huntington,Mid-Atlantic,Urban,West Virginia,WV,MD,3.81,506.0,496.0,True,Huntington,Mid-Atlantic,Urban,20.7,Reach,-0.818,-0.07,-6.0,36.3,11.5,False,"[""Applicant GPA is -0.07 relative to the school's reported average GPA of 3.81."", ""Applicant MCAT is -6 relative to the school's reported average MCAT of 506."", 'Applicant meets the listed minimum MCAT of 496.']",[],Out-of-state public — verify,1,[],['This is a public out-of-state school; actual out-of-state accessibility must be verified with official data.'],Eligible,100.0,Strong Preference Fit,"{'region': 100.0, 'setting': 100.0}","[""Program type matches the applicant's selected options: MD."", 'School is in a preferred region: Mid-Atlantic.', 'School setting matches the preference: Urban.']",[],[],,[],['Mission fit was not scored because curated school mission tags are unavailable.'],100.0,"['This is a public out-of-state school; actual out-of-state accessibility must be verified with official data.', 'Mission fit was not scored because curated school mission tags are unavailable.']","Eligible schools are ordered as a planning list: stated preference fit first, then residency context, academic comparison index, and data completeness. The academic category remains separate and is not changed by location preferences."
21,University of Louisville School of Medicine,Kentucky,"November 2, 2026",Yes,2026-11-02,University of Louisville School of Medicine,University of Louisville School of Medicine,KY,MD,3.78,507,NR,True,Louisville,Southeast,Urban,Kentucky,KY,MD,3.78,507.0,,True,Louisville,Southeast,Urban,19.5,Reach,-0.86,-0.04,-7.0,42.1,8.1,False,"[""Applicant GPA is -0.04 relative to the school's reported average GPA of 3.78."", ""Applicant MCAT is -7 relative to the school's reported average MCAT of 507.""]",[],Out-of-state public — verify,1,[],['This is a public out-of-state school; actual out-of-state accessibility must be verified with official data.'],Eligible,100.0,Strong Preference Fit,"{'region': 100.0, 'setting': 100.0}","[""Program type matches the applicant's selected options: MD."", 'School is in a preferred region: Southeast.', 'School setting matches the preference: Urban.']",[],[],,[],['Mission fit was not scored because curated school mission tags are unavailable.'],100.0,"['This is a public out-of-state school; actual out-of-state accessibility must be verified with official data.', 'Mission fit was not scored because curated school mission tags are unavailable.']","Eligible schools are ordered as a planning list: stated preference fit first, then residency context, academic comparison index, and data completeness. The academic category remains separate and is not changed by location preferences."
22,"University of South Carolina Kay and C. Edward Floyd, M.D. School of Medicine",South Carolina,"November 2, 2026",Yes,2026-11-02,University of  South Carolina School of Medicine – Columbia,University of  South Carolina School of Medicine – Columbia,SC,MD,3.77,508,NR,True,Columbia,Southeast,Urban,South Carolina,SC,MD,3.77,508.0,,True,Columbia,Southeast,Urban,17.2,Reach,-0.948,-0.03,-8.0,44.0,5.5,False,"[""Applicant GPA is -0.03 relative to the school's reported average GPA of 3.77."", ""Applicant MCAT is -8 relative to the school's reported average MCAT of 508.""]",[],Out-of-state public — verify,1,[],['This is a public out-of-state school; actual out-of-state accessibility must be verified with official data.'],Eligible,100.0,Strong Preference Fit,"{'region': 100.0, 'setting': 100.0}","[""Program type matches the applicant's selected options: MD."", 'School is in a preferred region: Southeast.', 'School setting matches the preference: Urban.']",[],[],,[],['Mission fit was not scored because curated school mission tags are unavailable.'],100.0,"['This is a public out-of-state school; actual out-of-state accessibility must be verified with official data.', 'Mission fit was not scored because curated school mission tags are unavailable.']","Eligible schools are ordered as a planning list: stated preference fit first, then residency context, academic comparison index, and data completeness. The academic category remains separate and is not changed by location preferences."
23,Lewis Katz School of Medicine at Temple University,Pennsylvania,"December 15, 2026",Yes,2026-12-15,Temple University Lewis Katz  School of Medicine,Temple University Lewis Katz  School of Medicine,PA,MD,3.70,510,NR,True,Philadelphia,Mid-Atlantic,Urban,Pennsylvania,PA,MD,3.7,510.0,,True,Philadelphia,Mid-Atlantic,Urban,15.6,Reach,-1.01,0.04,-10.0,57.9,2.3,False,"[""Applicant GPA is +0.04 relative to the school's reported average GPA of 3.70."", ""Applicant MCAT is -10 relative to the school's reported average MCAT of 510.""]",[],Out-of-state public — verify,1,[],['This is a public out-of-state school; actual out-of-state accessibility must be verified with official data.'],Eligible,100.0,Strong Preference Fit,"{'region': 100.0, 'setting': 100.0}","[""Program type matches the applicant's selected options: MD."", 'School is in a preferred region: Mid-Atlantic.', 'School setting matches the preference: Urban.']",[],[],,[],['Mission fit was not scored because curated school mission tags are unavailable.'],100.0,"['This is a public out-of-state school; actual out-of-state accessibility must be verified with official data.', 'Mission fit was not scored because curated school mission tags are unavailable.']","Eligible schools are ordered as a planning list: stated preference fit first, then residency context, academic comparison index, and data completeness. The academic category remains separate and is not changed by location preferences."
24,University of South Carolina School of Medicine Greenville,South Carolina,"November 1, 2026",Yes,2026-11-01,University of South Carolina School of Medicine – Greenville,University of South Carolina School of Medicine – Greenville,SC,MD,3.75,509,NR,True,Greenville,Southeast,Urban,South Carolina,SC,MD,3.75,509.0,,True,Greenville,Southeast,Urban,15.6,Reach,-1.013,-0.01,-9.0,48.0,3.6,False,"[""Applicant GPA is -0.01 relative to the school's reported average GPA of 3.75."", ""Applicant MCAT is -9 relative to the school's reported average MCAT of 509.""]",[],Out-of-state public — verify,1,[],['This is a public out-of-state school; actual out-of-state accessibility must be verified with official data.'],Eligible,100.0,Strong Preference Fit,"{'region': 100.0, 'setting': 100.0}","[""Program type matches the applicant's selected options: MD."", 'School is in a preferred region: Southeast.', 'School setting matches the preference: Urban.']",[],[],,[],['Mission fit was not scored because curated school mission tags are unavailable.'],100.0,"['This is a public out-of-state school; actual out-of-state accessibility must be verified with official data.', 'Mission fit was not scored because curated school mission tags are unavailable.']","Eligible schools are ordered as a planning list: stated preference fit first, then residency context, academic comparison index, and data completeness. The academic category remains separate and is not changed by location preferences."
25,Louisiana State University School of Medicine in Shreveport,Louisiana,"November 2, 2026",Yes,2026-11-02,Louisiana State University – Shreveport School of Medicine,Louisiana State University – Shreveport School of Medicine,LA,MD,3.80,508,NR,True,Shreveport,Southeast,Urban,Louisiana,LA,MD,3.8,508.0,,True,Shreveport,Southeast,Urban,15.5,Reach,-1.015,-0.06,-8.0,38.2,5.5,False,"[""Applicant GPA is -0.06 relative to the school's reported average GPA of 3.80."", ""Applicant MCAT is -8 relative to the school's reported average MCAT of 508.""]",[],Out-of-state public — verify,1,[],['This is a public out-of-state school; actual out-of-state accessibility must be verified with official data.'],Eligible,100.0,Strong Preference Fit,"{'region': 100.0, 'setting': 100.0}","[""Program type matches the applicant's selected options: MD."", 'School is in a preferred region: Southeast.', 'School setting matches the preference: Urban.']",[],[],,[],['Mission fit was not scored because curated school mission tags are unavailable.'],100.0,"['This is a public out-of-state school; actual out-of-state accessibility must be verified with official data.', 'Mission fit was not scored because curated school mission tags are unavailable.']","Eligible schools are ordered as a planning list: stated preference fit first, then residency context, academic comparison index, and data completeness. The academic category remains separate and is not changed by location preferences."
