| School                                                         | Eligibility | Academic Assessment | Basic Preference Match     | Residency Context | Main Evidence                                                                                                                                                       | Main Limitation                                | Recommended Action       | Verification Needed |
| Meharry Medical College                                       | Eligible    | Insufficient Data    | Moderate Basic Preference Match | Out-of-state private | Eligibility is Eligible; GPA above school average (+0.26); moderate preference match; only 1 border crossing; setting matches preference.                         | Missing MCAT score; school outside preferred region | Consider                | No                  |
| Morehouse School of Medicine                                  | Eligible    | Insufficient Data    | Moderate Basic Preference Match | Out-of-state private | Eligibility is Eligible; GPA above school average (+0.08); moderate preference match; 1 border crossing; setting matches preference.                              | Missing MCAT score; school outside preferred region | Consider                | No                  |
| Emory University School of Medicine                           | Eligible    | Insufficient Data    | Moderate Basic Preference Match | Out-of-state private | Eligibility is Eligible; GPA slightly above school average (+0.02); moderate preference match; 1 border crossing; setting matches preference.                     | Missing MCAT score; school outside preferred region | Consider                | No                  |
| Vanderbilt University School of Medicine                      | Eligible    | Insufficient Data    | Moderate Basic Preference Match | Out-of-state private | Eligibility is Eligible; GPA slightly below school average (-0.03); moderate preference match; 1 border crossing; setting matches preference.                    | Missing MCAT score; school outside preferred region | Consider                | No                  |
| New York Medical College                                      | Eligible    | Insufficient Data    | Moderate Basic Preference Match | Out-of-state private | Eligibility is Eligible; GPA above school average (+0.12); moderate preference match; 4 border crossings; setting is suburban vs preferred urban.                 | Missing MCAT score; setting mismatch           | Consider                | No                  |
| Donald and Barbara Zucker School of Medicine at Hofstra/Northwell | Eligible | Insufficient Data | Moderate Basic Preference Match | Out-of-state private | Eligibility is Eligible; GPA below school average (-0.20); moderate preference match; 4 border crossings; setting suburban vs preferred urban.                  | Missing MCAT score; setting mismatch           | Consider                | No                  |
| NYU Grossman Long Island School of Medicine                  | Eligible    | Insufficient Data    | Moderate Basic Preference Match | Out-of-state private | Eligibility is Eligible; GPA below school average (-0.22); moderate preference match; 4 border crossings; setting suburban vs preferred urban.                  | Missing MCAT score; setting mismatch           | Consider                | No                  |
| The Warren Alpert Medical School of Brown University          | Eligible    | Insufficient Data    | Moderate Basic Preference Match | Out-of-state private | Eligibility is Eligible; GPA below school average (-0.11); moderate preference match; 6 border crossings; setting matches preference.                            | Missing MCAT score                             | Consider                | No                  |
| Georgetown University School of Medicine                      | Eligible    | Insufficient Data    | Moderate Basic Preference Match | Out-of-state private | Eligibility is Eligible; GPA slightly below school average (-0.04); moderate preference match; 2 border crossings; school outside preferred region; setting matches. | Missing MCAT score and preferred region mismatch | Consider                | No                  |
| George Washington University School of Medicine & Health Sciences | Eligible | Insufficient Data | Moderate Basic Preference Match | Out-of-state private | Eligibility is Eligible; GPA below school average (-0.16); moderate preference match; 2 border crossings; school outside preferred region; setting matches.       | Missing MCAT score and preferred region mismatch | Consider                | No                  |
